Product_ID,Product_Name,Product_Family,Region,Channel,Campaign,Leads,Clicks,Impressions,Budget_EUR,Owner,Last_Updated,Status
IFX-001,Power MOSFET A,Power Management,EMEA,LinkedIn,Q2 Awareness,120,430,12000,850,Marketing Ops,5/1/2026,Active
IFX-002,Sensor Module B,Sensors,APAC,Webinar,Product Launch,85,210,7000,620,Product Marketing,4/28/2026,Active
IFX-003,MCU Starter Kit,Microcontrollers,Americas,Email,Developer Campaign,160,390,15000,740,Sales Enablement,4/22/2026,Review
IFX-004,Automotive Radar Sensor,Automotive,EMEA,Trade Fair,Automotive Campaign,95,180,9800,1100,Application Engineering,3/15/2026,active
IFX-005,Security Controller X,Security ICs,Europe,Website,Industrial Campaign,70,155,6200,480,Digital Marketing,5/3/2026,ACTIVE
IFX-006,Bluetooth Module C,Connectivity,APAC,Newsletter,Newsletter Push,135,310,11200,540,Marketing Ops,4/5/2026,Completed
IFX-007,Gate Driver IC,Power Management,emea,LinkedIn,Q2 Awareness,105,275,9100,670,Product Marketing,5/6/2026,Active
IFX-008,Voltage Regulator Pro,Power Management,Americas,Email,Product Launch,150,360,13500,790,Sales Enablement,4/18/2026,Review
IFX-009,Pressure Sensor Plus,Sensors,APAC,Webinar,Industrial Campaign,90,220,7600,610,Application Engineering,3/28/2026,Paused
IFX-010,Industrial MCU Board,Microcontrollers,EMEA,Website,Developer Campaign,175,420,16800,900,Digital Marketing,5/2/2026,Active
IFX-011,Smart Power Switch,Power Management,Europe,Trade Fair,Automotive Campaign,115,260,10200,980,Marketing Ops,3/20/2026,Review
IFX-012,NFC Security IC,Security ICs,APAC,LinkedIn,Product Launch,65,140,5300,430,Product Marketing,4/25/2026,Active
IFX-013,Radar Evaluation Kit,Automotive,Americas,Webinar,Automotive Campaign,140,330,12100,1250,Application Engineering,5/4/2026,Active
IFX-014,Temperature Sensor Mini,Sensors,emea,Newsletter,Newsletter Push,100,240,8700,390,Digital Marketing,4/2/2026,Completed
IFX-015,WiFi Control Module,Connectivity,APAC,Email,Developer Campaign,155,370,14300,820,Sales Enablement,3/30/2026,active
IFX-016,Motor Control IC,Automotive,EMEA,LinkedIn,Industrial Campaign,130,295,11800,950,Marketing Ops,4/29/2026,Review
IFX-017,Embedded Security Chip,Security ICs,Americas,Website,Q2 Awareness,80,170,6400,520,Product Marketing,5/5/2026,Active
IFX-018,Power Management Board,Power Management,APAC,Trade Fair,Product Launch,145,350,13200,870,Application Engineering,4/10/2026,Paused
IFX-019,Proximity Sensor Kit,Sensors,Europe,Webinar,Industrial Campaign,75,165,5900,460,Digital Marketing,3/18/2026,Review
IFX-020,MCU Development Board,Microcontrollers,Americas,Newsletter,Developer Campaign,190,450,18000,990,Sales Enablement,5/7/2026,Active
IFX-021,Automotive Control Unit,Automotive,EMEA,Email,Automotive Campaign,125,285,10900,1150,Application Engineering,4/15/2026,Active
IFX-022,Secure Payment IC,Security ICs,APAC,LinkedIn,Product Launch,60,125,4900,410,Marketing Ops,4/1/2026,Completed
IFX-023,Low Power Bluetooth IC,Connectivity,Americas,Website,Q2 Awareness,110,270,9400,630,Digital Marketing,5/6/2026,Active
IFX-024,Current Sensor Module,Sensors,emea,Trade Fair,Industrial Campaign,88,205,7300,570,Product Marketing,3/25/2026,Paused
IFX-025,High Voltage Gate Driver,Power Management,APAC,Webinar,Automotive Campaign,118,265,10100,1020,Sales Enablement,4/20/2026,Review
