Product_ID,Product_Name,Product_Family,Region,Channel,Campaign,Leads,Clicks,Impressions,Budget_EUR,Owner,Last_Updated,Status,Data_Quality_Flag,Update_Status,Click_Through_Rate,Cost_Per_Lead
IFX-001,Power MOSFET A,Power Management,EMEA,LinkedIn,Q2 Awareness,120,430,12000,850,Marketing Ops,2026-05-01,Active,Complete,Up-to-date,0.035833333333333335,7.083333333333333
IFX-002,Sensor Module B,Sensors,APAC,Webinar,Product Launch,85,210,7000,620,Product Marketing,2026-04-28,Active,Complete,Up-to-date,0.03,7.294117647058823
IFX-003,MCU Starter Kit,Microcontrollers,Americas,Email,Developer Campaign,160,390,15000,740,Sales Enablement,2026-04-22,Review,Complete,Up-to-date,0.026,4.625
IFX-004,Automotive Radar Sensor,Automotive,EMEA,Trade Fair,Automotive Campaign,95,180,9800,1100,Application Engineering,2026-03-15,Active,Complete,Needs Update,0.018367346938775512,11.578947368421053
IFX-005,Security Controller X,Security ICs,EMEA,Website,Industrial Campaign,70,155,6200,480,Digital Marketing,2026-05-03,Active,Complete,Up-to-date,0.025,6.857142857142857
IFX-006,Bluetooth Module C,Connectivity,APAC,Newsletter,Newsletter Push,135,310,11200,540,Marketing Ops,2026-04-05,Completed,Complete,Needs Update,0.027678571428571427,4.0
IFX-007,Gate Driver IC,Power Management,EMEA,LinkedIn,Q2 Awareness,105,275,9100,670,Product Marketing,2026-05-06,Active,Complete,Up-to-date,0.03021978021978022,6.380952380952381
IFX-008,Voltage Regulator Pro,Power Management,Americas,Email,Product Launch,150,360,13500,790,Sales Enablement,2026-04-18,Review,Complete,Up-to-date,0.02666666666666667,5.266666666666667
IFX-009,Pressure Sensor Plus,Sensors,APAC,Webinar,Industrial Campaign,90,220,7600,610,Application Engineering,2026-03-28,Paused,Complete,Needs Update,0.02894736842105263,6.777777777777778
IFX-010,Industrial MCU Board,Microcontrollers,EMEA,Website,Developer Campaign,175,420,16800,900,Digital Marketing,2026-05-02,Active,Complete,Up-to-date,0.025,5.142857142857143
IFX-011,Smart Power Switch,Power Management,EMEA,Trade Fair,Automotive Campaign,115,260,10200,980,Marketing Ops,2026-03-20,Review,Complete,Needs Update,0.025490196078431372,8.521739130434783
IFX-012,NFC Security IC,Security ICs,APAC,LinkedIn,Product Launch,65,140,5300,430,Product Marketing,2026-04-25,Active,Complete,Up-to-date,0.026415094339622643,6.615384615384615
IFX-013,Radar Evaluation Kit,Automotive,Americas,Webinar,Automotive Campaign,140,330,12100,1250,Application Engineering,2026-05-04,Active,Complete,Up-to-date,0.02727272727272727,8.928571428571429
